"date","close","volume","open","high","low"
"2017/02/17","3186.2770","0.0000","3166.3730","3186.2770","3155.1950"
"2017/02/16","3175.1880","0.0000","3167.9610","3177.6830","3159.3710"
"2017/02/15","3154.8930","0.0000","3137.3550","3157.8680","3129.0380"
"2017/02/14","3134.4930","0.0000","3135.5640","3138.1250","3119.0750"
"2017/02/13","3143.2320","0.0000","3138.5050","3147.0050","3133.2570"
"2017/02/10","3125.2370","0.0000","3134.3590","3137.8560","3107.8190"
"2017/02/09","3130.3890","0.0000","3137.3620","3147.7590","3128.7860"
"2017/02/08","3130.1730","0.0000","3130.0100","3134.8900","3110.9780"
"2017/02/07","3131.8160","0.0000","3123.8960","3131.9460","3116.4770"
"2017/02/06","3114.1950","0.0000","3109.1050","3116.1620","3103.5960"
"2017/02/03","3113.6750","0.0000","3105.0460","3115.3980","3101.6970"
"2017/02/02","3093.8720","0.0000","3067.1250","3095.8700","3056.5300"
"2017/02/01","3082.0160","0.0000","3090.8920","3096.9230","3064.0460"
"2017/01/31","3069.0190","0.0000","3070.7750","3071.9550","3050.3470"
"2017/01/30","3082.7120","0.0000","3082.7660","3083.3100","3054.0640"
"2017/01/27","3098.6510","0.0000","3080.3010","3099.2470","3080.1750"
"2017/01/26","3064.8790","0.0000","3083.5310","3085.3870","3057.6950"
"2017/01/25","3086.8890","0.0000","3083.3320","3094.2520","3075.3560"
"2017/01/24","3045.8210","0.0000","3018.1890","3051.2770","3017.4570"
"2017/01/23","2997.7940","0.0000","2995.4820","3006.1090","2977.8870"
"2017/01/20","3002.4420","0.0000","2994.2700","3013.7840","2993.8380"
"2017/01/19","2974.8130","0.0000","2982.0530","2996.5280","2971.2820"
"2017/01/18","2981.6400","0.0000","2963.9560","2983.8030","2961.2890"
"2017/01/17","2958.4920","0.0000","2970.0250","2975.0970","2948.2910"
"2017/01/13","2979.1930","0.0000","2965.2660","2983.8790","2964.5180"
"2017/01/12","2961.7830","0.0000","2959.1550","2963.3910","2924.9880"
"2017/01/11","2974.5180","0.0000","2957.7610","2974.5180","2953.5210"
"2017/01/10","2959.9340","0.0000","2953.1970","2971.1580","2951.3620"
"2017/01/09","2948.2450","0.0000","2936.7560","2953.6660","2936.7560"
"2017/01/06","2930.1830","0.0000","2910.0790","2935.3590","2896.7920"
"2017/01/05","2908.1540","0.0000","2902.8140","2920.4530","2897.5140"
"2017/01/04","2902.1950","0.0000","2896.4910","2907.8400","2892.0090"
"2017/01/03","2892.3910","0.0000","2890.7240","2914.8050","2873.1150"
"2016/12/30","2868.6950","0.0000","2910.1480","2912.6420","2862.2050"
"2016/12/29","2902.0580","0.0000","2898.6130","2910.4360","2888.0430"
"2016/12/28","2906.4210","0.0000","2951.1990","2952.6890","2904.6310"
"2016/12/27","2942.4780","0.0000","2927.1960","2953.3700","2927.1960"
"2016/12/23","2922.0450","0.0000","2908.1010","2922.3550","2908.0820"
"2016/12/22","2911.2580","0.0000","2924.8300","2925.0300","2901.7100"
"2016/12/21","2909.3290","0.0000","2909.9840","2916.0320","2904.2030"
"2016/12/20","2909.2300","0.0000","2909.2950","2917.6240","2902.5350"
"2016/12/19","2895.7810","0.0000","2882.0930","2907.5170","2877.0850"
"2016/12/16","2875.9620","0.0000","2913.4440","2922.4980","2867.1650"
"2016/12/15","2906.7100","0.0000","2884.3200","2920.7660","2880.6200"
"2016/12/14","2881.1630","0.0000","2894.9540","2904.5970","2873.2400"
"2016/12/13","2889.4610","0.0000","2863.9370","2907.2670","2862.4230"
"2016/12/12","2854.1000","0.0000","2860.8020","2864.8150","2833.9100"
"2016/12/09","2876.5750","0.0000","2892.1520","2894.9320","2864.1060"
"2016/12/08","2879.8940","0.0000","2872.4970","2891.0670","2866.8180"
"2016/12/07","2871.8980","0.0000","2812.9520","2874.1180","2803.5170"
"2016/12/06","2808.2970","0.0000","2795.7150","2808.8190","2783.0280"
"2016/12/05","2792.4140","0.0000","2778.7190","2803.3080","2768.6840"
"2016/12/02","2762.2210","0.0000","2734.3240","2765.2280","2727.9320"
"2016/12/01","2735.4320","0.0000","2838.8180","2839.0020","2728.6190"
"2016/11/30","2839.4930","0.0000","2862.7520","2867.8960","2839.4930"
"2016/11/29","2860.2730","0.0000","2857.1540","2877.1920","2847.5160"
"2016/11/28","2859.7150","0.0000","2862.2240","2873.3970","2856.7260"
"2016/11/25","2858.5270","0.0000","2851.2580","2858.5270","2845.6960"
"2016/11/23","2848.0950","0.0000","2851.8950","2853.4000","2838.9840"
"2016/11/22","2856.9630","0.0000","2857.5170","2863.6270","2849.6990"
"2016/11/21","2849.2930","0.0000","2835.9380","2851.2310","2828.6370"
"2016/11/18","2825.7380","0.0000","2830.0800","2834.3590","2817.3040"
"2016/11/17","2827.8930","0.0000","2805.4140","2830.1600","2799.9870"
"2016/11/16","2798.7500","0.0000","2770.2320","2799.7380","2768.4530"
"2016/11/15","2779.7080","0.0000","2754.9570","2786.5320","2753.7640"
"2016/11/14","2738.9850","0.0000","2766.1620","2769.9320","2733.8530"
"2016/11/11","2761.1040","0.0000","2730.1850","2763.2170","2723.6430"
"2016/11/10","2719.5580","0.0000","2770.4530","2795.0220","2688.8530"
"2016/11/09","2760.1210","0.0000","2693.5980","2767.5110","2691.1030"
"2016/11/08","2767.2970","0.0000","2758.1300","2779.1290","2744.0330"
"2016/11/07","2759.0120","0.0000","2732.1320","2760.4960","2729.0730"
"2016/11/04","2682.8490","0.0000","2678.4480","2708.1110","2674.0750"
"2016/11/03","2698.8280","0.0000","2712.2220","2717.1640","2696.0710"
"2016/11/02","2712.5500","0.0000","2741.3210","2749.5680","2705.4060"
"2016/11/01","2744.5100","0.0000","2780.0110","2783.4760","2716.8680"
"2016/10/31","2775.9110","0.0000","2784.8250","2792.2220","2775.4910"
"2016/10/28","2769.8820","0.0000","2782.6970","2797.3910","2762.8330"
"2016/10/27","2770.9370","0.0000","2794.9700","2804.9940","2767.2700"
"2016/10/26","2774.5980","0.0000","2762.5830","2788.3590","2758.5410"
"2016/10/25","2769.1070","0.0000","2777.4880","2782.4920","2765.5230"
"2016/10/24","2778.5870","0.0000","2758.5020","2779.9010","2758.5020"
"2016/10/21","2739.0180","0.0000","2738.4660","2741.3680","2719.4450"
"2016/10/20","2742.7220","0.0000","2736.8210","2750.2410","2715.6600"
"2016/10/19","2734.6950","0.0000","2726.1260","2738.0020","2723.4000"
"2016/10/18","2736.2220","0.0000","2742.3260","2747.5220","2731.7140"
"2016/10/17","2708.6600","0.0000","2717.1620","2727.3360","2706.9710"
"2016/10/14","2718.5530","0.0000","2727.6060","2750.9130","2715.2860"
"2016/10/13","2711.5710","0.0000","2704.5200","2718.8060","2672.4550"
"2016/10/12","2729.6750","0.0000","2728.2010","2737.4440","2714.4390"
"2016/10/11","2733.5510","0.0000","2787.1290","2787.1290","2716.6520"
"2016/10/10","2788.3810","0.0000","2797.2910","2808.1110","2787.6940"
"2016/10/07","2784.1670","0.0000","2793.8990","2794.8110","2767.2890"
"2016/10/06","2791.9090","0.0000","2786.2830","2793.7170","2769.8860"
"2016/10/05","2789.1110","0.0000","2775.9670","2799.2460","2773.2650"
"2016/10/04","2769.4800","0.0000","2776.7930","2788.7080","2758.7200"
"2016/10/03","2770.5170","0.0000","2774.8920","2790.0590","2764.4750"
"2016/09/30","2775.0690","0.0000","2762.2970","2785.5940","2761.9090"
"2016/09/29","2754.8340","0.0000","2749.1060","2767.9710","2722.6660"
"2016/09/28","2753.0670","0.0000","2753.4510","2758.0180","2734.9140"
"2016/09/27","2749.8620","0.0000","2708.8040","2750.1410","2706.6460"
